nct_id,brief_title,search_condition,conditions,sponsor,sponsor_class,enrollment_count,num_arms,total_sites,num_countries,start_date,completion_date,has_participant_flow,total_started,total_completed,total_discontinued,dropout_rate,discontinuation_reasons,top_dropout_reason,top_dropout_reason_count,num_periods
NCT00683618,Compare the Efficacy of Rosuvastatin to Atorvastatin in High Risk Patients With Hypercholesterolemia,dyslipidemia,Hypercholesterolemia,AstraZeneca,INDUSTRY,934,3,6,1,2008-05,2009-07,True,436,56,17,87.2,Withdrawal by Subject (8); Adverse Event (5); Protocol Violation (2); Reason not provided (2),Withdrawal by Subject,8.0,2
NCT00591578,Efficacy and Safety Comparison of Azilsartan Medoxomil to Valsartan in Participants With Essential Hypertension,cardiovascular disease,Hypertension,Takeda,INDUSTRY,984,3,88,4,2007-12,2010-03,True,984,154,258,84.3,Adverse Event (73); Withdrawal by Subject (68); Lack of Efficacy (50); Lost to Follow-up (40); Other (18); Protocol Violation (8); Pregnancy (1),Adverse Event,73.0,2
NCT01182441,Evaluation of the WATCHMAN Left Atrial Appendage (LAA) Closure Device in Patients With Atrial Fibrillation Versus Long Term Warfarin Therapy,cardiovascular disease,Atrial Fibrillation; Stroke,Boston Scientific Corporation,INDUSTRY,407,2,41,1,2010-11,2017-11,True,407,68,339,83.3,Patient Still in Follow-up (224); Death (62); Withdrawal by Subject (19); Implant Attempt Unsuccessful (13); Lost to Follow-up (13); Implant Not Attempted (4); Adverse Event (2); Physician Decision (2),Patient Still in Follow-up,224.0,1
NCT02100514,Randomized Clinical Trial of Bococizumab (PF-04950615; RN316) in Subjects With Primary Hyperlipidemia or Mixed Dyslipidemia At Risk Of Cardiovascular Events,cardiovascular disease,Hyperlipidemia,Pfizer,INDUSTRY,746,2,223,12,2014-10-28,2017-07-10,True,746,131,105,82.4,Withdrawal by Subject (49); Lost to Follow-up (22); Other (20); Adverse Event (5); Death (4); Protocol Violation (2); Withdrew consent (2); Did Not Meet Entrance Criteria (1),Withdrawal by Subject,49.0,2
NCT03325556,Relapse Prevention Study of Pimavanserin in Dementia-related Psychosis,cardiovascular disease,Dementia-related Psychosis,ACADIA Pharmaceuticals Inc.,INDUSTRY,392,2,83,13,2017-09-27,2019-10-30,True,392,79,313,79.8,Administrative discont. at study termination (107); Lack of Response in OL period (70); Relapse (49); Adverse Event (31); Withdrawal by Subject (27); Not otherwise specified (14); Non-compliance with study drug (5); Protocol Violation (4); Use of prohibited medication (2); Death (1); Lost to Follow-up (1); Noncompliance with study drug (1); Physician Decision (1),Administrative discont. at study termination,107.0,2
NCT00330759,Study of Denosumab vs. Zoledronic Acid to Treat Bone Metastases in Subjects With Advanced Cancer or Multiple Myeloma.,cardiovascular disease,Bone Metastases,Amgen,INDUSTRY,1779,2,0,0,2006-06-01,2011-10-01,True,1776,358,1418,79.8,Death (626); Withdrawal by Subject (267); Disease progression (230); Adverse Event (84); Other (80); Participant request (53); Lost to Follow-up (38); Noncompliance (32); Physician Decision (3); Ineligibility determined (3); Protocol deviation (2),Death,626.0,1
NCT00415532,Romiplostim (AMG 531) Versus Medical Standard of Care for Immune (Idiopathic) Thrombocytopenic Purpura,cardiovascular disease,Idiopathic Thrombocytopenic Purpura; Thrombocytopenia; Thrombocytopenia in Subjects With Immune (Idiopathic) Thrombocytopenic Purpura (ITP); Thrombocytopenic Purpura,Amgen,INDUSTRY,234,2,0,0,2006-12-01,2009-05-11,True,234,52,53,77.8,Withdrawal by Subject (17); Adverse Event (9); Other (9); Death (6); Ineligibility determined (4); Noncompliance (3); Lost to Follow-up (2); Requirement for alternative therapy (2); Protocol Violation (1),Withdrawal by Subject,17.0,2
NCT03758638,Healthy Eating and Active Living Taught at Home (HEALTH) Dissemination & Implementation (D&I),obesity,Obesity,Washington University School of Medicine,OTHER,620,2,1,1,2019-01-25,2025-06-30,True,620,141,479,77.3,Providers not included in the primary outcome. (311); Lost to Follow-up (114); Pregnancy (42); Withdrawal by Subject (10); Protocol Violation (2),Providers not included in the primary outcome.,311.0,1
NCT00484315,TAXUS PERSEUS Workhorse,cardiovascular disease,Coronary Artery Disease,Boston Scientific Corporation,INDUSTRY,1264,2,90,4,2007-07,2013-10,True,1262,289,78,77.1,No 9-Month Angiography Performed (36); Missed 12-Month Visit (17); Death (8); Withdrawn at Investigator's discretion (5); Not Evaluable for Angiography Analysis (5); Withdrawal by Subject (4); Lost to Follow-up (3),No 9-Month Angiography Performed,36.0,2
NCT00121641,Saxagliptin Treatment in Subjects With Type 2 Diabetes Who Are Not Controlled With Diet and Exercise,diabetes type 2,"Diabetes Mellitus, Type 2",AstraZeneca,INDUSTRY,1035,5,134,6,2005-07,2010-02,True,467,107,537,77.1,Lack of Efficacy (230); Subject Withdrew Consent (142); Lost to Follow-up (64); Adverse Event (51); Poor / Non-compliance (18); Subject No Longer Meets Study Criteria (12); Other Reason (12); Administrative Reason by Sponsor (4); Pregnancy (2); Death (1); Missing (1),Lack of Efficacy,230.0,2
NCT01027949,An Open-Label Extension Trial of UT-15C Sustained-release (SR) in Subjects With Pulmonary Arterial Hypertension,hypertension,Pulmonary Arterial Hypertension,United Therapeutics,INDUSTRY,894,1,135,20,2007-01-16,2020-02-12,True,894,208,686,76.7,Death (174); Adverse Event (172); Progressive Disease (163); Withdrawal by Subject (113); Lost to Follow-up (17); Protocol Violation (13); PI Decision (8); Limited Study Drug Effectiveness (7); Non-compliance with Study Procedures (7); Lung Transplant (5); Unable to Tolerate Study Drug (2); Use of Excluded Medication (2); Patient Self-discontinuation (1); Pregnancy (1); Surgery (1),Death,174.0,1
NCT00386607,"A Safety and Tolerability Study of the Combination of Aliskiren/Valsartan in Patients With High Blood Pressure, Followed by Long-term Safety and Tolerability of Aliskiren, Valsartan and Hydrochlorothiazide.",cardiovascular disease,Hypertension,Novartis,INDUSTRY,601,2,4,4,2006-10,2008-07,True,601,145,132,75.9,Adverse Event (46); Lost to Follow-up (26); Unsatisfactory therapeutic effect (24); Patient withdrew consent (20); Protocol Deviation (6); Abnormal laboratory value(s) (4); Condition no longer requires study drug (4); Administrative problems (2),Adverse Event,46.0,2
NCT02741596,Long-term Safety and Efficacy Study of DX-2930 (SHP643) to Prevent Acute Angioedema Attacks in Patients With Type I and Type II HAE,cardiovascular disease,Hereditary Angioedema (HAE),Shire,INDUSTRY,212,2,43,7,2016-05-26,2019-10-31,True,212,56,156,73.6,Subject withdrawn-to commercial product (117); Subject withdrawn-Other (21); Adverse Event (6); Pregnancy (4); Physician Decision (3); Other (Unspecified) (3); Lost to Follow-up (2),Subject withdrawn-to commercial product,117.0,1
NCT01023308,Panobinostat or Placebo With Bortezomib and Dexamethasone in Patients With Relapsed Multiple Myeloma,cardiovascular disease,Multiple Myeloma,Novartis Pharmaceuticals,INDUSTRY,767,2,210,34,2009-12-21,2015-07-30,True,768,204,564,73.4,Disease progression (235); Adverse Event (196); Withdrawal by Subject (52); Death (38); Abnormal test proceedure results (11); New Cancer therapy (11); Untreated (10); Protocol Violation (7); Administrative problems (3); Lost to Follow-up (1),Disease progression,235.0,1
NCT01345019,Denosumab Compared to Zoledronic Acid in the Treatment of Bone Disease in Patients With Multiple Myeloma,cardiovascular disease,Cancer; Hematologic Malignancies; Multiple Myeloma; Oncology; Bone Metastases; Multiple Myeloma Bone Lesions,Amgen,INDUSTRY,1718,2,309,29,2012-05-17,2019-03-29,True,1718,460,1006,73.2,"Death (381); Withdrawal by Subject (311); Adverse Event (100); Administrative Decision (63); Disease Progression (57); Completed Survival Follow-up (30); Other, Not Specified (21); Noncompliance (17); Lost to Follow-up (12); Ineligibility Determined (7); Protocol Deviation (5); Pregnancy (1); Protocol Violation (1)",Death,381.0,2
NCT00507416,"Velcade,Thalidomide, and Dexamethasone Versus Velcade and Dexamethasone Versus Velcade, Melphalan, and Prednisone",cardiovascular disease,Multiple Myeloma,"Millennium Pharmaceuticals, Inc.",INDUSTRY,502,3,235,2,2007-06,2013-03,True,502,145,357,71.1,Adverse Event (190); Progressive Disease (43); Patient declined further treatment (43); Other (40); Lack ofEfficacy / Physician Decision (22); Did not Receive Study Treatment (16); Protocol Violation (3),Adverse Event,190.0,1
NCT00368836,Breath Analysis Technique to Diagnose Pulmonary Embolism,cardiovascular disease,Pulmonary Embolism,Wake Forest University Health Sciences,OTHER,475,1,1,1,2006-01,2008-06,True,350,104,21,70.3,unable to collect blood and/or breath (17); Protocol Violation (2); Screen Failure (1); Withdrawal by Subject (1),unable to collect blood and/or breath,17.0,2
NCT00922480,Clinical Study to Evaluate the Antihypertensive Efficacy and Safety of Fimasartan in Hypertension Patients,cardiovascular disease,Hypertension,"Boryung Pharmaceutical Co., Ltd",INDUSTRY,506,2,0,0,2008-12,2009-09,True,505,150,74,70.3,Withdrawal by Subject (37); Adverse Event (15); Protocol Violation (12); Lost to Follow-up (5); Lack of Efficacy (3); Physician Decision (1); Others (1),Withdrawal by Subject,37.0,2
NCT01272219,Effect of Liraglutide on Body Weight in Non-diabetic Obese Subjects or Overweight Subjects With Co-morbidities: SCALE™ - Obesity and Pre-diabetes,obesity,Metabolism and Nutrition Disorder; Obesity,Novo Nordisk A/S,INDUSTRY,3731,5,226,29,2011-06-01,2015-03-02,True,3731,1110,2316,70.2,Withdrawal criteria (1192); Adverse Event (521); Unclassified (258); Protocol Violation (219); Lack of Efficacy (125); Missing reason (1),Withdrawal criteria,1192.0,3
NCT03180736,Comparison of Pom and Dex in Subjects With RRMM Previously Treated With Len and a PI Dara/Pom/Dex vs Pom/Dex,cardiovascular disease,Multiple Myeloma,Stichting European Myeloma Network,NETWORK,304,2,40,10,2017-06-14,2024-11-30,True,304,93,211,69.4,Lack of Efficacy (153); Death (17); Withdrawal by Subject (17); Physician Decision (11); Adverse Event (7); randomized but not treated (5); Lost to Follow-up (1),Lack of Efficacy,153.0,1
