reason,count,bucket,recommended_action
No Endpoint Blood Draw,3,,
Not treated,3,,
Site closure,3,,
Protocol Specified Discontinuation,3,,
Non-compliant with protocol,3,,
Lack ofEfficacy / Physician Decision,3,,
Subject Withdrawn from Follow-up,3,,
"Berotralstat Provided by alternative Means (i.e., Early Access Program or Commercially Available)",2,,
Progressive disease,2,,
Enrolled in Long-term Extension Study,2,,
Providers not included in the primary outcome.,2,,
Subject/guardian Decision,2,,
Ongoing,2,,
Progression of Disease,2,,
Study terminated by Sponsor,2,,
Patient Still in Follow-up,2,,
Discontinued at clinical cutoff (due to end of data collection period),2,,
Uspecified,2,,
Subject withdrawn-to commercial product,2,,
Screen Failure,2,,
Relapse or Progressive Disease,2,,
Morbidity or Mortality primary endpoint,2,,
Abnormal test procedure result(s),2,,
did not finish experimental regimen,2,,
Withdrawal by Patient,2,,
"Patient refusal to continue, not due to adverse event",2,,
Sponsor's Decision to End the Study,2,,
Perceived Lack of Efficacy,2,,
Other Death,2,,
Relapse,2,,
"Sponsor Termination of Study, etc.",2,,
Lab Abnormality or Adverse Event (AE),2,,
Subject withdrawn-Other,2,,
Study Terminated By Sponsor,2,,
Patient Refusal,2,,
"Patient refusal to continue, not due to AE",2,,
PD: Inconvenience of Dosing,2,,
Personal Reasons,2,,
Termination of Trial,2,,
Others,2,,
Death (non-related to the study,2,,
Other - Not Otherwise Specified (NOS),2,,
Patient met glycemic withdrawal criteria,2,,
Did Not Meet Protocol Eligibility,2,,
Device not implanted,2,,
Participants request to discontinue study treatment,2,,
Participant request to discontinue,2,,
At the participant's own request,2,,
Transplant planned,2,,
Cancer Progression,2,,
Withdrawn,2,,
were not scanned,2,,
Adverse Events (treatment-related),2,,
Other than listed above,2,,
ID: Benefit/Risk Judgment,2,,
Participant did not wish to continue,2,,
Enrolled but no catheter inserted,2,,
Other Complicating Disease,2,,
Study closed by sponsor,2,,
Enrolled but screen failures,2,,
Study specific discontinuation criteris,2,,
Did not enter long-term study,2,,
Study Closure,2,,
Personal Reason,2,,
"Adverse event, non-fatal event",2,,
Patient Received Glycemic Medication,2,,
Withdrawn consent,2,,
Other reason than listed,2,,
Other not defined above,2,,
Administrative reasons by Sponsor,2,,
Physician's decision,2,,
Subject withdrew consent,2,,
Did not receive any study medication,2,,
Disease relapse,2,,
Death or Transplant,2,,
withdrawn consent,2,,
LDL below 2.59 mmol/L,2,,
"Patient refusal to cont., not due to AE",2,,
Reason Unspecified,2,,
Death/Withdrew/Criteria Violation,2,,
Other reason not stated above,2,,
Subject/Guardian decision,2,,
"Adverse event, serious fatal",2,,
Completed extension 1 (weeks 26-40),2,,
Investigator Decision,2,,
Withdrawn from Follow-up Participation,2,,
Flushing Symptoms,2,,
"Other, Not Specified",2,,
"Consent withdrawn, not due to AE",2,,
Familial and personal reasons,2,,
"Other, not specified above",2,,
Not otherwise specified,2,,
Administrative Decision,2,,
"Adverse event, non-fatal",2,,
Only Vital Status Known,2,,
Subject Noncompliance,2,,
Withdrawal by participant,2,,
Death / Serious Adverse Event,2,,
scans could not be evaluated,2,,
Underwent aortic root surgery,2,,
Non-compliance,2,,
Randomized and not treated,2,,
Atrial Fibrillation/Flutter recurrence,2,,
Requirement for alternative therapy,2,,
Recurrent Stroke,2,,
Consent withdrawal,2,,
Other reason not specified,2,,
Unclassifiable Response,2,,
At the subject's own request,2,,
subject no longer meets study criteria,2,,
Sponsor Decision,2,,
No follow-up data,2,,
Not able to visit the site,2,,
Missed Visit,2,,
Unable to get to clinic,2,,
randomized but not treated,2,,
Supine Hypertension,2,,
withdrew prior to dosing,2,,
Family or MD withdrew subject,2,,
Alive,2,,
No longer eligible,2,,
Clinical efficacy endpoint reached,2,,
Lack of therapeutic response,2,,
Investigator-Initiated Early Closure,2,,
Condition under investigation worsened,2,,
Loss of Glucose Control,2,,
Inadequate Control of IOP,2,,
Subject Non-Compliance,2,,
Cancer Cured,2,,
Most due to osteomylitis status,2,,
Protocol Specific Criteria,2,,
Non-compliance with study drug,2,,
Other adverse events (non-serious),2,,
Personal reasons,2,,
Patient received Phase A rescue therapy,2,,
Patient's request,2,,
Oral anticoagulant required,2,,
Familial or Personal Reasons,2,,
Withdrawals between 6 and 24 months,2,,
Patient convenience,2,,
Missed 12-month visit,2,,
Non compliant with protocol,2,,
Protocol Deviation,2,,
Major protocol deviation,2,,
No reason provided,2,,
Procedure Cancelled,2,,
Patient refused to take study medication,2,,
GCP violations,2,,
Major Protocol Deviation,2,,
Screening failures,2,,
No reason for withdrawal,2,,
Investigator dec./not protocol-related,2,,
Dropped,2,,
Missing end-of-study page,2,,
Other non serious Adverse Event,2,,
Study Terminated by Sponsor,2,,
Overall trial ended,1,,
Discontinued by Sponsor,1,,
Inclusion/exclusion criteria not met,1,,
Lack of Response in OL period,1,,
Sponsor's Administrative Decision,1,,
Ablation,1,,
"Other, 2 PAH-SYMPACT cycles not complete",1,,
Treatment failure,1,,
Wk 16 Efficacy and BP Criteria,1,,
Wk 42 Efficacy and BP Criteria,1,,
Subject no longer requires study drug,1,,
Participant no longer meets the inclusion/exclusion criteria,1,,
Subjects Did Not Complete Week 12,1,,
Abnormal Test Procedure Result(s),1,,
Two consecutive LDL-C <15 mg/dL,1,,
Participant wanted to try other therapy or treatment,1,,
Investigational Medicinal Product (IMP) Supply Issues,1,,
Issues With Performing Invasive Coronary Angiography (ICA),1,,
Participant non-compliance / Protocol violation(s),1,,
Study site excluded from analysis,1,,
Not treated with Patiromer during Run-in,1,,
Withdrawn before randomisation,1,,
Exited prior to EP study,1,,
Adverse Events (unrelated to,1,,
Randomization Criterion #1,1,,
Did not Receive Treatment,1,,
Implant Attempt Unsuccessful,1,,
Treatment extension study,1,,
Enrollment capped,1,,
Administrative reason by sponsor,1,,
Guardian decision,1,,
Site Closure,1,,
Non compliant with the protocol,1,,
Met Withdrawal Criteria,1,,
Condition no longer requires study drug,1,,
Lack of therapeutic effect,1,,
Withdrew prior to treatment,1,,
Decision by the investigator/sponsor,1,,
Received a Kidney Transplant,1,,
Serious Adverse Events,1,,
Protocol-Specific lab discon criteria,1,,
AE (Adverse Event),1,,
Fasting plasma glucose level increased,1,,
Other Protocol Specified Criteria,1,,
unable to collect blood and/or breath,1,,
Efficacy outcome reached,1,,
COVID-19 Restrictions,1,,
LDL < 50 mg/dL,1,,
Unable to take rescue therapy,1,,
IRB's rejection etc.,1,,
Other Reason Not Specified,1,,
received a kidney transplant,1,,
Angio or SPECT not completed,1,,
New Drug Pulmonary Atrial Hypertension,1,,
Technical Failure,1,,
Completed Survival Follow-up,1,,
Protocol-specified Criteria,1,,
"Drug non-compliance, moved, other",1,,
Reason not reported,1,,
Did not continue to Period II,1,,
Alternative Therapy,1,,
Other (Unspecified),1,,
"non-compliance, not met criteria, etc.",1,,
Adverse Event Other than Hyperglycemia,1,,
Screen failure or other uncategorised,1,,
Consent withdrawn by Parent/Guardian,1,,
Transition to Commercial Treatment,1,,
Refused Treatment,1,,
Randomization Criterion #3,1,,
Poor compliance,1,,
Flushing with Product,1,,
"1 Wk After 3 Patiromer Packets/Day, sK+ >5.0 Meq/L",1,,
Discontinued,1,,
ESKD,1,,
Missing data needed for endpt analyses,1,,
Did not receive treatment,1,,
Clinical Endpoint Reached,1,,
Participant felt the drug did not work,1,,
discontinued in preceding trial,1,,
Did not receive IV loop diuretics,1,,
Abnormal laboratory value(s),1,,
Not Compliant with Study Procedures,1,,
Too busy,1,,
"did not meet criteria, non-compliance",1,,
Randomized; did not receive intevention,1,,
PI Decision,1,,
Change in RAAS inhibitor therapy,1,,
Did not Receive Study Treatment,1,,
Other - Reason not reported in CSR,1,,
"Other, including non-compliance",1,,
Randomized But Not Treated,1,,
Participant had flushing,1,,
Natural Disaster,1,,
Unknown reasons,1,,
Clinical adverse event,1,,
Patient Decision,1,,
Intercurrent Illness/Medical Condition,1,,
Not compliant,1,,
Other reason for early termination,1,,
Consent Withdrawn (Status Alive),1,,
Participants Did Not Receive Study Drug,1,,
Did not receive randomized treatment,1,,
Hyperglycemia Meeting Discontinuation Criteria,1,,
Randomized in error,1,,
Due to COVID 19 restrictions,1,,
Prohibited antiarrhythmic medication,1,,
Participant moved,1,,
Completed out of Window,1,,
Randomized but Not Dosed,1,,
Site 212 removal,1,,
Limited Study Drug Effectiveness,1,,
Non-compliance with Study Procedures,1,,
Withdrew informed consent,1,,
Thromboembolic/outcome event,1,,
ID: Palliative Treatment Only,1,,
Termination of Study by Sponsor,1,,
Randomized but never treated,1,,
Undefined,1,,
"Non-compliance, not met criteria etc.",1,,
Non-compliance with Study Drug,1,,
Poor/non-compliance,1,,
"Drug noncompliance, other",1,,
Discontinued Prior to Visit,1,,
Amendment 4: > Month 12,1,,
Spontaneous abortion (<20 weeks),1,,
Ineligible,1,,
Screen Failures,1,,
Missing follow-up information,1,,
Implant Not Attempted,1,,
Symptomatic hypotension,1,,
One of the subjects IS NO LONGER USING AQUACEL STANDARD OF CARE AND WAS REMOVED FROM THE STUDY,1,,
Lack of Efficacy-Sub-Reason Exacerbation,1,,
unclassified,1,,
Data entry error (reported as study completion and study discontinuation),1,,
"Randomized, but not treated",1,,
Required dialysis,1,,
Unable to dose reduce per protocol,1,,
Two or more reasons for discontinuation,1,,
"Drug noncompliance, moved, other",1,,
Not Evaluable for 9-Month Angiography,1,,
Medical condition changed,1,,
"Drug noncompliance,moved,other",1,,
Administrative,1,,
Entered Rescue Procedure,1,,
Subject/guardian decision,1,,
LostToFollowUpfor3P-MACE(StatusAlive),1,,
Clinical worsening event,1,,
No longer met study criteria,1,,
Stop due to diverse problems,1,,
Not Available for the 8 Week Visit,1,,
