feature,importance,feature_group
cat__period_title_Initial Treatment Phase (Weeks 0 - 12),1.478156055730921e-06,categorical
cat__search_condition_dyslipidemia,1.271601266980352e-06,categorical
cat__period_title_On Study at Time of Unblinding,1.0640764154463662e-06,categorical
cat__reason_Termination of Trial,9.150944179373711e-07,categorical
cat__period_title_Double-blind Period,8.958574358773946e-07,categorical
cat__period_title_Treatment Period (TP) (156 Weeks),8.86958239203299e-07,categorical
cat__reason_Perceived Lack of Efficacy,8.6660709593466e-07,categorical
cat__period_title_Long-Term Follow Up Phase,8.570237695087111e-07,categorical
cat__period_title_Extension Phase,8.304353846380766e-07,categorical
cat__reason_Continue in Long Term Follow Up,8.060199554425345e-07,categorical
cat__period_title_Blinded Treatment Phase,7.036963160762281e-07,categorical
cat__period_title_Core Part of Study,6.396373858509612e-07,categorical
cat__reason_Unclassified,6.204663504499557e-07,categorical
cat__reason_Study terminated by sponsor,5.745007841559212e-07,categorical
cat__reason_Patient Request,5.620740663239793e-07,categorical
cat__reason_Study drug toxicity,4.561277178291092e-07,categorical
cat__reason_Administrative discont. at study termination,4.256526405940623e-07,categorical
cat__period_title_Double-Blind Period,3.17564210282555e-07,categorical
cat__reason_Ongoing in study,2.578482181531215e-07,categorical
cat__period_title_30-week Core Treatment Period,2.4692161166181253e-07,categorical
cat__reason_Physician Decision,2.1651537007271264e-07,categorical
cat__reason_Decision by Participant or Proxy,1.925622061478659e-07,categorical
cat__reason_Adverse event unrelated to study drug,1.8847047993597774e-07,categorical
cat__period_title_Controlled Treatment Period (CTP),1.8569017396996505e-07,categorical
cat__reason_Participant moved to open-label extension (OLE) study,1.8479939085430406e-07,categorical
cat__reason_Hyperglycemic Rescue,1.8376208000900084e-07,categorical
cat__reason_Pretreatment Event/Adverse Event,1.6088857927368406e-07,categorical
cat__reason_Hyperglycemic rescue,1.381509729242243e-07,categorical
cat__reason_Withdrew Consent,1.323157755594697e-07,categorical
cat__reason_Other reasons,1.1948890464781656e-07,categorical
cat__reason_Consent withdrawn,1.188658775607128e-07,categorical
cat__period_title_Before Randomization (VCD Induction),1.141668122014574e-07,categorical
cat__period_title_Phase B (Weeks 24-104),1.0559524532709051e-07,categorical
cat__period_title_Short Term (ST) + Long Term (LT) Period,8.77344516579686e-08,categorical
cat__sponsor_class_FED,8.241934232856788e-08,categorical
cat__period_title_Double-blind (DB) Phase,8.152016664595239e-08,categorical
cat__period_title_Double-blind (DB) Treatment Period,7.76012991965766e-08,categorical
cat__reason_Reversible ischemic defect not present,7.75867871922694e-08,categorical
cat__period_title_Treatment Period (156 Weeks),7.406260811590003e-08,categorical
cat__period_title_Year 2 (Week 0 to Week 104),6.955364898946278e-08,categorical
cat__period_title_Cohort 1,6.936354469175619e-08,categorical
cat__period_title_Active Treatment Phase (Weeks 13-64),6.450480569421218e-08,categorical
cat__reason_Other than specified above,6.055666827749135e-08,categorical
cat__reason_Subject Withdrew Consent,5.555825871516585e-08,categorical
cat__reason_Withdrawal Criteria,5.1615470412027405e-08,categorical
cat__period_title_Main Study (Up to Wk 96),4.6875912869257954e-08,categorical
cat__reason_Participant request,4.583893248323094e-08,categorical
cat__reason_did not continue in extension,4.498671271790945e-08,categorical
cat__period_title_Main Period: Week 0 to Week 56,4.440375922519281e-08,categorical
cat__reason_Study specific discontinuation criteris,4.4306995333107634e-08,categorical
cat__reason_Other reason not stated above,4.088846149445332e-08,categorical
cat__period_title_Part B (2 Year Core Study),4.047376347594667e-08,categorical
cat__reason_Other reason (not specified),3.7521647890435584e-08,categorical
cat__reason_Only Vital Status Known,3.4799287865375586e-08,categorical
cat__period_title_Follow-up Period,3.4489877289364054e-08,categorical
cat__period_title_Pharmacology Intervention/Randomization,3.106532070698203e-08,categorical
cat__period_title_48-month Short Term + Long Term Period,2.982803690970375e-08,categorical
cat__period_title_Phase B,2.9248361435964656e-08,categorical
cat__reason_lost to follow-up for all-cause death,2.855821245093459e-08,categorical
cat__period_title_Double Blind Period (103 Weeks),2.7922610696730732e-08,categorical
cat__reason_Miscellaneous,2.774005113636972e-08,categorical
cat__period_title_Study Completion,2.7455300047949708e-08,categorical
cat__period_title_Precrossover: Periods I/II (Weeks 1-12),2.7275580749952437e-08,categorical
cat__period_title_Extension Open Label Treatment,2.37665231368163e-08,categorical
cat__period_title_Treatment Phase (Overall Study),2.3552687428420717e-08,categorical
cat__period_title_Extension Study - up to 3 Years,2.347238299308101e-08,categorical
cat__period_title_Safety Follow-up Period,2.287771275694478e-08,categorical
cat__period_title_Up to Final Analysis (Week 52),2.1784060073678024e-08,categorical
cat__reason_Did not enter OLC,2.0422540464203747e-08,categorical
cat__reason_Withdrawal of Consent,2.0237607476639292e-08,categorical
cat__period_title_Extension Phase (Wk 96 to Wk 156),2.02116776503722e-08,categorical
cat__reason_Missing end-of-study page,1.9196649352232947e-08,categorical
cat__reason_Voluntary Withdrawal,1.887348919632644e-08,categorical
"cat__reason_Refusal to continue, not due to AE",1.6643834507449223e-08,categorical
cat__period_title_Part 1: Blinded Period,1.6416176474362683e-08,categorical
cat__period_title_Core,1.593231211410402e-08,categorical
cat__period_title_Year 1 ( Week 0 to Week 52),1.5873121240714136e-08,categorical
cat__period_title_Part 2 (Week 24 to Week 72),1.5808033305044922e-08,categorical
cat__period_title_Primary Treatment Period,1.5663026888068862e-08,categorical
cat__period_title_Period 1 (Baseline - Week 52),1.4975342864605337e-08,categorical
cat__reason_Other Reasons,1.4441323580940092e-08,categorical
cat__arm_id_FG005,1.42767127080588e-08,categorical
cat__period_title_Weeks 0-56,1.3269186519111397e-08,categorical
"cat__period_title_Randomized, Completed 6 Months of Study",1.228273032094126e-08,categorical
cat__reason_Withdrawal criteria,1.2075736113078634e-08,categorical
cat__reason_Oral anticoagulant required,1.2026082616102675e-08,categorical
cat__period_title_Maintenance Period (Week 20 to Week 68),1.1835728916978207e-08,categorical
cat__reason_GCP violations,1.1346884863306252e-08,categorical
cat__reason_Withdrawal of consent,1.1160659725816987e-08,categorical
cat__reason_Alive,1.078954536370976e-08,categorical
"cat__reason_Patient refusal to cont., not due to AE",1.0714411850057923e-08,categorical
cat__reason_Other Adverse Event (AE),1.0446866322155921e-08,categorical
cat__period_title_Treatment Phase,9.962170298331218e-09,categorical
cat__reason_Potassium Withdrawal Criteria Met,9.788207399885792e-09,categorical
cat__reason_Subject decision,9.756363956913767e-09,categorical
cat__period_title_OLE Part of Study,9.29008541908941e-09,categorical
cat__period_title_Core Period: Baseline to Week 26,9.197624949662197e-09,categorical
cat__reason_Other Reason,8.644086760301543e-09,categorical
cat__period_title_Core Study - 16 Weeks,8.405287044958054e-09,categorical
cat__reason_Other than specified,8.24567429746877e-09,categorical
cat__search_condition_metabolic syndrome,7.95364754958975e-09,categorical
cat__search_condition_NASH,7.645002366255527e-09,categorical
cat__reason_Any other reason,7.636425898230735e-09,categorical
"cat__reason_Adverse event, non-fatal event",7.595832189105904e-09,categorical
cat__period_title_Follow-up Period (8 Weeks),7.595111071899267e-09,categorical
cat__period_title_Double-blind Study Period (Week 36 - 92),7.165830680625289e-09,categorical
cat__period_title_Open Label Phase,7.105923395900814e-09,categorical
cat__period_title_Double-Blind Treatment Phase,7.05786360065413e-09,categorical
cat__period_title_Primary Study (Through Year 1),7.045743089554722e-09,categorical
cat__period_title_Non-treatment Follow-up Period,7.004122154506487e-09,categorical
cat__period_title_603B: 24-36 Week Study Period,6.961983845429645e-09,categorical
cat__period_title_Discontinuation From Study (Treated Set),6.825546376968516e-09,categorical
cat__period_title_Run-in Phase,6.602273537285403e-09,categorical
cat__period_title_2 - Enrolled Participants Set,6.4429985713230905e-09,categorical
cat__reason_Investigator-Initiated Early Closure,6.35504781534502e-09,categorical
cat__period_title_Extension Period: Week 26 to Week 52,5.67735347608599e-09,categorical
cat__period_title_24-week Double-blind Treatment Period,5.6457475500207005e-09,categorical
cat__period_title_Follow-Up Period,5.6352174432913124e-09,categorical
cat__reason_discontinued in preceding trial,5.505339963006767e-09,categorical
cat__reason_Voluntary withdrawal,5.359466064922798e-09,categorical
cat__reason_Only one reason for discontinuation,5.337312294532573e-09,categorical
cat__reason_Non compliant with protocol,5.152478996317316e-09,categorical
cat__period_title_Double Blind Placebo Controlled (DBPC),5.102312049740545e-09,categorical
cat__reason_No reason for withdrawal,4.9721935122201016e-09,categorical
cat__period_title_Main Study,4.959259578471414e-09,categorical
cat__reason_Protocol deviation,4.819342567698068e-09,categorical
cat__period_title_LT Period,4.806892663872797e-09,categorical
cat__reason_Noncompliance,4.761977111740876e-09,categorical
cat__reason_Other - as reported by the investigator,4.701623839822328e-09,categorical
cat__period_title_Main Trial Period Through Week 56,4.635472802427268e-09,categorical
cat__period_title_LTOLE Part (Open Label),4.606696950338854e-09,categorical
cat__reason_Poor compliance to protocol,4.597260993204015e-09,categorical
cat__period_title_Discontinuation From Trial,4.470082170034171e-09,categorical
cat__reason_Clinical Adverse Event,4.468300201817405e-09,categorical
cat__period_title_Period II,4.298265255571648e-09,categorical
cat__period_title_Phase A (Weeks 0-24),4.263399673133364e-09,categorical
cat__period_title_Double Blind Treatment Period,4.243284618455595e-09,categorical
cat__period_title_Long-term Treatment Period,4.094960824736242e-09,categorical
"cat__period_title_Single Blind(Run-in Period, 4 Weeks)",4.048352510494372e-09,categorical
cat__period_title_Weeks 0-20,4.020492924148087e-09,categorical
cat__period_title_Follow-up Period (FUP) (8 Weeks),3.973918968895881e-09,categorical
cat__reason_Physician withdrew consent,3.5259412873491857e-09,categorical
cat__reason_did not complete year 4 follow-up,3.4538351929225437e-09,categorical
cat__reason_Unsatisfactory therapeutic effect,3.397566267888422e-09,categorical
cat__period_title_603A: 0-12 Week Study Period,3.3434814080860517e-09,categorical
cat__reason_Protocol Specified Discontinuation,3.3089678904167327e-09,categorical
cat__reason_Other Serious Adverse Event,3.2977987914427417e-09,categorical
cat__reason_Participant decision,3.0585034887875734e-09,categorical
cat__period_title_DB Treatment Period-Randomized Patients,2.9921703065942612e-09,categorical
cat__period_title_Treatment Period 2 (Week 16 to Week 31),2.9169463822620238e-09,categorical
cat__period_title_1st Stage,2.8803358879838148e-09,categorical
cat__reason_At the Participant's own request,2.606524429451102e-09,categorical
cat__period_title_Treatment Period 2,2.593639559996816e-09,categorical
cat__period_title_Period 1,2.5075355163684737e-09,categorical
cat__reason_Reason Not Specified,2.394165910157251e-09,categorical
cat__period_title_Weeks 20-54,2.379289458837924e-09,categorical
cat__period_title_OLEX Period (up to 48 Weeks),2.2628732772843166e-09,categorical
cat__reason_Subject withdrew consent,2.169763138659947e-09,categorical
cat__reason_Lost to follow-up to primary endpoint,2.1422251312952837e-09,categorical
cat__reason_Reduced creatinine clearance,2.0778020996693083e-09,categorical
cat__reason_Other than those specified,2.050622102676108e-09,categorical
cat__reason_Hyperglycemia,2.0242152444312584e-09,categorical
cat__period_title_Main + Extension Period: Week 0-172,1.9972293711538417e-09,categorical
cat__period_title_Additional Treatment Period,1.9960101760227688e-09,categorical
cat__reason_Patient withdrew consent,1.9713615455446536e-09,categorical
cat__reason_Reasons other than stated above,1.9128277475458565e-09,categorical
cat__period_title_Entered - Long-Term Extension Study,1.8606270208986796e-09,categorical
cat__period_title_Uncontrolled Treatment Period (UTP),1.8361760343887309e-09,categorical
cat__reason_Investigator Decision,1.7347909184783708e-09,categorical
cat__reason_Other non serious Adverse Event,1.7157694384185816e-09,categorical
cat__reason_Study site terminated by sponsor,1.6741382369672291e-09,categorical
cat__period_title_Core Study,1.6645487045925518e-09,categorical
cat__period_title_Lead-in,1.6517521027787539e-09,categorical
cat__period_title_Week 52,1.6350238223333734e-09,categorical
cat__reason_Other reason not defined above,1.6311481773290765e-09,categorical
cat__period_title_Treatment Period (52 Weeks),1.609274967624829e-09,categorical
cat__reason_Death or Transplant,1.5748128858272914e-09,categorical
cat__period_title_Short-term Treatment Period,1.5078204498124494e-09,categorical
cat__period_title_Core Period: 26 Weeks,1.506967105698821e-09,categorical
cat__reason_Related to study drug administration,1.4063646539429178e-09,categorical
cat__reason_Decision by Sponsor,1.4051614836642597e-09,categorical
cat__period_title_Extension Period,1.404812943991783e-09,categorical
cat__period_title_Placebo-controlled Withdrawal (Phase 2),1.3661197879349969e-09,categorical
cat__reason_Did Not Enter Follow-up Period,1.356795359199015e-09,categorical
cat__period_title_Period 1: Short-term (24-week) Phase,1.316447408283625e-09,categorical
cat__reason_Missing final visit,1.3045097798159518e-09,categorical
cat__reason_Dropped,1.299696179057756e-09,categorical
cat__period_title_Open Label Titration,1.2505475563318976e-09,categorical
"cat__reason_Sponsor Decision, Arm Discontinued",1.197387584722479e-09,categorical
cat__reason_Lack of therapeutic response,1.1921063879517614e-09,categorical
cat__period_title_Period 2 (Week 52 - Week 104),1.1756280243282206e-09,categorical
"cat__reason_non-compliance, not met criteria, etc.",1.1330144364820198e-09,categorical
cat__reason_Withdrawal of consent by subject,1.1148177364316642e-09,categorical
cat__period_title_Single-blind Period (2 to 4 Weeks),1.0943684464816035e-09,categorical
"cat__period_title_Double-Blind, 6 Months",1.088845060075749e-09,categorical
cat__reason_No Endpoint Blood Draw,1.0335982006604118e-09,categorical
cat__period_title_1 -Modified Enrolled Participants Set,1.028640138157241e-09,categorical
cat__reason_Major Protocol Deviation,1.0021684648188797e-09,categorical
cat__period_title_Lead-In Period,9.886068834670778e-10,categorical
cat__period_title_24-week Short-term Treatment Period,9.815974669608002e-10,categorical
cat__period_title_After Randomization (TP and VTP),9.60860899088193e-10,categorical
cat__reason_patient's private reason,9.417431980042532e-10,categorical
cat__period_title_Long-term Follow-up Period,9.390723618919537e-10,categorical
cat__period_title_8-week Double-blind Period,9.215850585233332e-10,categorical
cat__period_title_Initial 3 Month Counseling,9.082411967665842e-10,categorical
"cat__reason_Withdrawal of Consent,Protocol Deviation",8.983326151643576e-10,categorical
cat__reason_No study drug received,8.851511786427828e-10,categorical
cat__period_title_Main Treatment Period,8.381248666110486e-10,categorical
cat__reason_Condition under investigation worsened,8.350472277511098e-10,categorical
cat__reason_Non-compliance with study medication,8.341635847492739e-10,categorical
cat__period_title_Transfer Treatment Phase (Weeks 12 - 24),8.286362192408176e-10,categorical
cat__reason_Selection Criterion/Protocol Violation,8.251451191384167e-10,categorical
cat__reason_Other - As Reported by Investigator,8.245578128208856e-10,categorical
cat__period_title_Main: Week 0 to 26 (NN5401-3590),8.239314225533715e-10,categorical
cat__reason_Patient refused to take study medication,8.079399978247428e-10,categorical
cat__period_title_Part 1 (Baseline up to Week 24),8.02217438083973e-10,categorical
cat__period_title_Double-Blind,7.987807066855594e-10,categorical
cat__period_title_26-week Treatment Extension Period,7.557389924675701e-10,categorical
cat__reason_Other withdrawal reason,7.539292752517677e-10,categorical
cat__period_title_Open-Label,7.403103215561753e-10,categorical
cat__period_title_Open Label Treatment Period,7.340641060006965e-10,categorical
cat__reason_Not true myocardial infarction,7.246744482010382e-10,categorical
cat__reason_Study closed by sponsor,7.209285331463259e-10,categorical
cat__reason_Other adverse events (non-serious),7.146440418002396e-10,categorical
cat__period_title_Variable Treatment Period,6.990974037507701e-10,categorical
cat__period_title_Phase A,6.93002704497159e-10,categorical
cat__arm_id_FG007,6.814657566854833e-10,categorical
cat__arm_id_FG006,6.611078181514116e-10,categorical
cat__reason_Delayed visit and insufficient study,6.584312366835844e-10,categorical
cat__period_title_Blinded Treatment (Up to 03 Aug 2005),6.579109941928818e-10,categorical
cat__period_title_Main Period (MP) (up to 16 Weeks),6.568349309776305e-10,categorical
cat__period_title_26 Week (Short Term),6.525290570249263e-10,categorical
cat__period_title_Part 1,6.42923797585149e-10,categorical
cat__period_title_Dose Response Phase (Phase 1),6.374904172900926e-10,categorical
cat__period_title_Treatment Period II: Week 12 to Week 36,5.795085486037986e-10,categorical
cat__period_title_Up to Unblinding (07 Jun 2005),5.654342846371591e-10,categorical
cat__reason_Lack ofEfficacy / Physician Decision,5.63402434490312e-10,categorical
cat__reason_Study closed/terminated,5.581973874458612e-10,categorical
cat__period_title_Post-Treatment Safety Follow-Up Period,5.551432400634778e-10,categorical
cat__reason_Clinical endpoint reached,5.353325238029271e-10,categorical
cat__period_title_Part 2,5.253957402919278e-10,categorical
cat__reason_Pregnancy,5.043227033416187e-10,categorical
cat__period_title_Observational Period,4.894723293484017e-10,categorical
cat__reason_Surgery initiated before infusion,4.869621270926536e-10,categorical
cat__reason_Major protocol deviation,4.865139501692197e-10,categorical
cat__reason_Missing follow-up information,4.682736145030473e-10,categorical
cat__reason_Amendment 4: > Month 12,4.4512431298520434e-10,categorical
cat__reason_Indirect contact,4.2125292859569097e-10,categorical
cat__reason_missed closeout visit,3.9282779731888476e-10,categorical
cat__reason_H.A. Request,3.9232826255816113e-10,categorical
cat__reason_Assigned Treatment by Mistake,3.8254171620118996e-10,categorical
cat__reason_Investigator discretion,3.6867981979059125e-10,categorical
cat__period_title_Period III,3.5464637354650474e-10,categorical
cat__period_title_Interventional Phase,3.469040545029522e-10,categorical
cat__reason_Consent withdrawn by participant,3.3319949701223246e-10,categorical
cat__reason_Subject/guardian decision,3.310113089867e-10,categorical
cat__reason_major GCP violations,3.222739664261452e-10,categorical
cat__period_title_Treatment Period 3 (Week 32 to Week 52),3.140245425097109e-10,categorical
cat__reason_never received study drug,3.132854904555198e-10,categorical
cat__reason_Site closure,3.116416023808044e-10,categorical
cat__reason_Other: Not related to COVID-19,3.040968192949458e-10,categorical
cat__period_title_Observational Follow-up,2.988596121165514e-10,categorical
"cat__reason_Patient refusal to continue,not due toAE",2.9569561278956343e-10,categorical
cat__period_title_Period VI (Open-Label),2.9415059016525875e-10,categorical
cat__period_title_Intensification Period (Week 26-38),2.8350988429151804e-10,categorical
"cat__period_title_Main Period, Weeks 0-26",2.8192039313285995e-10,categorical
cat__period_title_Study 306A,2.8112870348831405e-10,categorical
cat__reason_Site closure: Final VS available,2.757373294566202e-10,categorical
cat__reason_Poor Compliance to Protocol,2.7573616110322663e-10,categorical
cat__period_title_Crossover: Period III (Weeks 13-20),2.7414287368876036e-10,categorical
cat__period_title_Double-blind Phase (18 Months),2.737542942470763e-10,categorical
cat__period_title_Part 1 Double-Blind,2.6814426437973225e-10,categorical
cat__period_title_Cohort 2,2.662964348574163e-10,categorical
cat__reason_Withdrawal by Parent/Guardian,2.6547864291583176e-10,categorical
cat__period_title_Period 1: 24-Week Double-blind Treatment,2.5850091921320116e-10,categorical
cat__reason_Subjects Did Not Complete Week 36,2.4106602981756193e-10,categorical
cat__period_title_Open Label Extension Phase (12 Months),2.4102091107851084e-10,categorical
cat__period_title_First Period (First 6 Months),2.401038954784009e-10,categorical
cat__period_title_44-week Open-label Extension,2.3444836518865313e-10,categorical
cat__reason_Hyperglycemia Meeting Discontinuation Criteria,2.330399442916616e-10,categorical
cat__period_title_Phase II,2.328768246392827e-10,categorical
cat__period_title_Placebo Controlled Phase (Weeks 0-12),2.3147337532888372e-10,categorical
cat__reason_LostToFollowUpfor3P-MACE(StatusUnknown),2.2897920776312523e-10,categorical
cat__period_title_Extension: Week 27 to 52 (NN5401-3726),2.260623706303483e-10,categorical
cat__reason_Qualifying condition not present,2.2329033073167962e-10,categorical
cat__reason_Lab abnormalities,2.2296897129027338e-10,categorical
cat__period_title_Completed Study Follow Up,2.1973021450748035e-10,categorical
cat__reason_Unable to take rescue therapy,2.193767189047042e-10,categorical
cat__period_title_54-Week Base Study,2.1412285923465445e-10,categorical
cat__period_title_Long-term (LT) Period (Weeks 24-102),2.1407298555533603e-10,categorical
cat__period_title_Week 0-26 (Main Period),2.1287066273021862e-10,categorical
cat__reason_Site Closure,2.1000969640981075e-10,categorical
cat__reason_Physician Refused to Continue Treatment,2.0606637422296535e-10,categorical
cat__period_title_Treatment Period 1 (Day 1 to Week 15),2.0060207365715285e-10,categorical
"cat__period_title_Double Blind (Treatment Period, 8 Weeks)",1.8876750485347714e-10,categorical
cat__period_title_Phase B (Weeks 24 to 54),1.80620654582794e-10,categorical
cat__reason_Non-compliance with Study Drug,1.801635695218696e-10,categorical
cat__reason_Entry criteria not met,1.780367162784846e-10,categorical
cat__period_title_52 Week (Long Term),1.774167133895021e-10,categorical
cat__period_title_Coadministration Period,1.7668891339250348e-10,categorical
cat__reason_Withdrawal by consent,1.7084208073605624e-10,categorical
cat__period_title_12-Month Clinical Follow-up,1.659497810306099e-10,categorical
cat__period_title_Randomised Treatment Period,1.6296126092419187e-10,categorical
cat__period_title_Randomization (Visit 2),1.624406988834529e-10,categorical
cat__reason_Early intrauterine fetal death,1.6201656908727953e-10,categorical
cat__period_title_Phase A (Up to 24 Weeks),1.6177936719434173e-10,categorical
cat__reason_patient's refusal to come,1.6153951633661766e-10,categorical
cat__period_title_30-day Safety Follow-up Period,1.6023962060418667e-10,categorical
cat__arm_id_FG009,1.585365944844202e-10,categorical
cat__reason_Patient Moved,1.5776664284292323e-10,categorical
cat__reason_Investigator Site Closed,1.5760210789016637e-10,categorical
cat__reason_Personal Reasons,1.573107607470307e-10,categorical
cat__period_title_Single Blind Period (1 Week),1.5666905926133414e-10,categorical
cat__reason_Consent withdrawn by Parent/Guardian,1.539073527934434e-10,categorical
cat__period_title_Period 2：Open-label Period,1.511658651739312e-10,categorical
cat__reason_Subject No Longer Meets Study Criteria,1.4854000979351846e-10,categorical
cat__period_title_Double-blind:Randomized Period (8 Weeks),1.4452722373539693e-10,categorical
cat__reason_Baseline IVUS determined unevaluable,1.407236026902409e-10,categorical
cat__period_title_Week 27 to 52,1.4072144394537182e-10,categorical
cat__period_title_Week 24,1.4022486259084664e-10,categorical
"cat__period_title_Open-Label Extension, 18 Months",1.3511845592348632e-10,categorical
cat__period_title_Phase B (Week 25 to Week 52),1.2970127352914918e-10,categorical
cat__period_title_ST Period,1.29671780701281e-10,categorical
cat__reason_Termination of Study/Site by GSK,1.2920315383777213e-10,categorical
cat__period_title_Treatment Period (Week 0 to 52),1.2614512289731704e-10,categorical
cat__reason_Related to Study Drug administration,1.26087181163012e-10,categorical
cat__reason_Sponsor Decision,1.2510019455449632e-10,categorical
"cat__period_title_3-Single-blind, Single Treatment",1.24342187668152e-10,categorical
cat__reason_Personal Reason,1.2190503675575057e-10,categorical
cat__period_title_Completed the Study Through Week 24,1.2117938835028465e-10,categorical
cat__period_title_Open-label Lead-in Period (Week 0 - 36),1.2084338279389194e-10,categorical
cat__period_title_Double Blind Base Study,1.2005149120251897e-10,categorical
cat__period_title_Treatment Period I (Week 1 to Week 12),1.1968248637440577e-10,categorical
cat__reason_Participant Unavailability,1.1915905434639355e-10,categorical
cat__reason_Did not Enter Follow-up Period,1.151422620471909e-10,categorical
"cat__period_title_Open-Label Extension, Week 26-78",1.1242031607077767e-10,categorical
cat__period_title_Main: Week 0 to 52 (NN1250-3579),1.123473651351022e-10,categorical
"cat__period_title_Treatment Period, 12 Weeks",1.1140837946493033e-10,categorical
cat__reason_Study Terminated by Sponsor,1.1078244710056076e-10,categorical
cat__period_title_Antithrombotic Part (Double Blind),1.0557686384688626e-10,categorical
cat__reason_Unable to Complete,1.0371801453782933e-10,categorical
cat__arm_id_FG015,1.0331378349177917e-10,categorical
cat__period_title_Double Blind Phase,9.930086551562803e-11,categorical
cat__period_title_Short Term (ST) Period,9.858690214237273e-11,categorical
cat__reason_Event related to cardiac condition,9.720311305936618e-11,categorical
cat__period_title_Randomization,9.7096207353052e-11,categorical
cat__period_title_Short-term Period (Day 1 to Week 24),9.424169234111425e-11,categorical
cat__period_title_Active Comparison Phase,9.13976933825932e-11,categorical
cat__reason_Withdrawal by parent/guardian,9.11732217933313e-11,categorical
cat__reason_Administrative problems,8.993536871842818e-11,categorical
cat__reason_Intraoperative exclusion criteria,8.904547646749615e-11,categorical
cat__period_title_Follow-up (FU) Period,8.801870607649337e-11,categorical
cat__period_title_Period 4: Open Label,8.342285634118398e-11,categorical
cat__period_title_Follow-up,8.340086065670342e-11,categorical
cat__period_title_Maintenance Period (26 Weeks),8.056136518945866e-11,categorical
cat__reason_scientific integrity issue,7.754752985015833e-11,categorical
cat__reason_Non-compliant with study medication,7.74113505730798e-11,categorical
cat__reason_Hospitalization due to surgery,7.737144214608039e-11,categorical
cat__reason_Personal and Familial Reason,7.508170260668732e-11,categorical
cat__period_title_Re-randomised Period: Week 56 to Week 68,7.374071254074631e-11,categorical
cat__reason_Familial and personal reasons,6.920993518429852e-11,categorical
