priority_rank,trial_id,reason,period_title,arm_id,predicted_graph_weight,risk_percentile,risk_tier,action_hint,intervention_plan,queue_date,due_date,owner,status,outreach_channel,followup_outcome,notes
11,NCT02990338,Progressive disease,Overall Study,FG000,1.762508928968928,0.9995558911044988,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
12,NCT02076009,Death,Overall Study,FG000,1.721639664978371,0.9995114802149488,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
13,NCT02252172,Death,Overall Study,FG000,1.6960181421960194,0.9994670693253986,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
14,NCT02990338,Progressive disease,Overall Study,FG001,1.664343683468214,0.9994226584358484,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
15,NCT01734928,Progressive Disease,Treatment Period,FG000,1.582670871442588,0.9993782475462984,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
16,NCT02136134,Death,Overall Study,FG001,1.5819066864994002,0.9993338366567482,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
17,NCT03053440,Enrolled in Long-term Extension Study,Overall Study,FG001,1.5512240627627474,0.999289425767198,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
18,NCT02678312,Death,Part 2 Double Blind Epoch,FG004,1.5273685198714688,0.999245014877648,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
19,NCT03758638,Providers not included in the primary outcome.,Overall Study,FG000,1.5215299005213387,0.9992006039880978,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
20,NCT03158688,Death,Overall Study,FG001,1.4467471008489683,0.9991561930985478,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
21,NCT02678312,Death,Part 2 Double Blind Epoch,FG003,1.4194961542460818,0.9991117822089975,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
22,NCT02076009,Death,Overall Study,FG001,1.415791018586389,0.9990673713194476,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
23,NCT03180736,Lack of Efficacy,Overall Study,FG001,1.3808404116286703,0.9990229604298974,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
24,NCT01734928,Progressive Disease,Treatment Period,FG001,1.3508260812357304,0.9989785495403471,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
25,NCT02195479,Death,Overall Study,FG001,1.3399788134385002,0.9989341386507972,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
26,NCT02678312,Subject/guardian Decision,Part 2 Double Blind Epoch,FG004,1.3220826951821332,0.9988897277612472,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
27,NCT02252172,Death,Overall Study,FG001,1.3073697624137188,0.998845316871697,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
28,NCT03277105,Death,Overall Study,FG000,1.2545779159921977,0.9988009059821468,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
29,NCT02312258,Death,Overall Study,FG001,1.2504537737331038,0.9987564950925968,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
30,NCT03277105,Death,Overall Study,FG001,1.2165464983238885,0.9987120842030466,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
31,NCT03689374,Run-in failure,Run-in Period (12 Weeks),FG000,1.2131649081502076,0.9986676733134964,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
32,NCT03277105,Other,Overall Study,FG001,1.2044633268145435,0.9986232624239464,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
33,NCT01239797,Disease progression,Treated Participants,FG001,1.190941771826068,0.9985788515343962,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
34,NCT02252172,End of data collection,Overall Study,FG001,1.1903651423322312,0.998534440644846,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
35,NCT01239797,Disease progression,Treated Participants,FG000,1.1851953320071396,0.998490029755296,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
36,NCT02755597,Death,Overall Study,FG000,1.1414172343319446,0.998445618865746,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
37,NCT03277105,Other,Overall Study,FG000,1.1202927289594935,0.9984012079761958,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
38,NCT03275285,Ongoing,Overall Study,FG001,1.119378420077738,0.9983567970866456,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
39,NCT03758638,Providers not included in the primary outcome.,Overall Study,FG001,1.1031392654453875,0.9983123861970956,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
40,NCT02312258,Reason not Specified,Overall Study,FG001,1.0986833874941064,0.9982679753075454,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
41,NCT02076009,End of data collection,Overall Study,FG001,1.0931632530981457,0.9982235644179952,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
42,NCT03180736,Lack of Efficacy,Overall Study,FG000,1.0689780795030364,0.9981791535284452,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
43,NCT00622336,Progression of Disease,Treatment Phase,FG000,1.0427026941450186,0.998134742638895,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
44,NCT02755597,Study terminated by Sponsor,Overall Study,FG000,0.992581445140874,0.9980903317493448,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
45,NCT01182441,Patient Still in Follow-up,Overall Study,FG000,0.9785711341386896,0.9980459208597948,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
46,NCT02195479,Discontinued at clinical cutoff (due to end of data collection period),Overall Study,FG001,0.977018963548532,0.9980015099702448,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
47,NCT03053440,Enrolled in Long-term Extension Study,Overall Study,FG000,0.9746982591786112,0.9979570990806946,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
48,NCT01850524,Reason not Specified,Overall Study,FG000,0.9529353575462304,0.9979126881911444,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
49,NCT03651765,Discontinued by Sponsor,Overall Study,FG000,0.9509950136264094,0.9978682773015944,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
50,NCT01850524,Reason not Specified,Overall Study,FG001,0.9440010826186412,0.9978238664120442,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
51,NCT01734785,Other Reasons,Open-Label Period,FG003,0.9430552269311306,0.997779455522494,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
52,NCT00103506,Death,Overall Study,FG000,0.9360854763405744,0.997735044632944,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
53,NCT00103506,Death,Overall Study,FG001,0.931799042964682,0.9976906337433938,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
54,NCT02136134,Uspecified,Overall Study,FG001,0.9128399257923032,0.9976462228538436,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
55,NCT03110562,Death,Initial Treatment Period,FG001,0.9097995138457348,0.9976018119642936,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
56,NCT02252172,End of data collection,Overall Study,FG000,0.9029950536465792,0.9975574010747436,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
57,NCT02678312,Subject/guardian Decision,Part 2 Double Blind Epoch,FG003,0.8805922878959818,0.9975129901851936,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
58,NCT02741596,Subject withdrawn-to commercial product,Overall Study,FG001,0.8595289517211806,0.9974685792956433,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
59,NCT01335399,Disease progression,Treatment Period,FG001,0.8567268683459726,0.9974241684060932,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
60,NCT03110562,Death,Initial Treatment Period,FG000,0.8423390540361715,0.9973797575165432,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
61,NCT02076009,End of data collection,Overall Study,FG000,0.8389045707802701,0.997335346626993,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
62,NCT02312258,Death,Overall Study,FG000,0.8162912859802093,0.9972909357374428,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
63,NCT01027949,Death,Overall Study,FG000,0.811061720841716,0.9972465248478928,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
64,NCT00179647,Other,Overall Study,FG000,0.8001210745313507,0.9972021139583426,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
65,NCT02741596,Subject withdrawn-to commercial product,Overall Study,FG000,0.7916073045084818,0.9971577030687924,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
66,NCT01027949,Adverse Event,Overall Study,FG000,0.7910603694248707,0.9971132921792424,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
67,NCT00424047,Progression of disease,On Study at Time of Unblinding,FG001,0.7902254889260714,0.9970688812896922,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
68,NCT01102426,Progressive Disease,Overall Study,FG000,0.7887442894242664,0.997024470400142,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
69,NCT02755597,Study terminated by Sponsor,Overall Study,FG001,0.7762656283154483,0.996980059510592,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
70,NCT01027949,Progressive Disease,Overall Study,FG000,0.7604230277747712,0.996935648621042,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
71,NCT03110562,Participants withdrawn due to company goals,Initial Treatment Period,FG001,0.7588833279464001,0.9968912377314918,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
72,NCT01568866,Disease Progression,Overall Study,FG000,0.7497144151086013,0.9968468268419416,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
73,NCT03158688,Death,Overall Study,FG000,0.7425974467738999,0.9968024159523916,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
74,NCT02678312,Technical Problems,Part 2 Double Blind Epoch,FG003,0.7407173138403175,0.9967580050628414,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
75,NCT01908816,Early termination,Overall Study,FG000,0.7340222932893853,0.9967135941732912,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
76,NCT02489968,Other than specified above,Open-label Treatment Period,FG000,0.7331180755147325,0.9966691832837412,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
77,NCT01426425,Inclusion/exclusion criteria not met,Overall Study,FG000,0.7293025060003866,0.996624772394191,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
78,NCT03275285,Ongoing,Overall Study,FG000,0.7272464535789994,0.9965803615046408,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
79,NCT00424047,Progression of disease,Blinded Treatment (Up to 03 Aug 2005),FG001,0.7198001688750599,0.9965359506150908,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
80,NCT02312258,Reason not Specified,Overall Study,FG000,0.7088800138413799,0.9964915397255408,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
81,NCT01327846,Study terminated by sponsor,Extension Phase,FG003,0.7079304514581254,0.9964471288359906,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
82,NCT01335399,Disease progression,Treatment Period,FG000,0.6957286576280073,0.9964027179464404,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
83,NCT01028053,Screen Failure,Overall Study,FG000,0.6940466192182743,0.9963583070568904,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
84,NCT00689936,Disease Progression,Active Treatment Phase,FG001,0.691137267503542,0.9963138961673402,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
85,NCT01568866,Disease Progression,Overall Study,FG001,0.6893452012691367,0.99626948527779,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
86,NCT00496769,>=1 reason assigned per patient,Open Label,FG002,0.6822612286022326,0.99622507438824,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
87,NCT02489968,Other than specified above,Open-label Treatment Period,FG001,0.6821564524288096,0.9961806634986898,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
88,NCT04592419,Sponsor Request,Open-Label Extension Period,FG001,0.6779686522242365,0.9961362526091396,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
89,NCT00689936,Disease Progression,Active Treatment Phase,FG002,0.6698232044429759,0.9960918417195896,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
90,NCT02195479,Discontinued at clinical cutoff (due to end of data collection period),Overall Study,FG000,0.6648516591250702,0.9960474308300395,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
91,NCT03037931,Death,Overall Study,FG001,0.6537663436384036,0.9960030199404896,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
92,NCT00732641,Relapse or Progressive Disease,Overall Study,FG001,0.6507795570482939,0.9959586090509392,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
93,NCT01335399,Adverse event unrelated to study drug,Treatment Period,FG000,0.6487046891613203,0.9959141981613892,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
94,NCT03110562,Participants withdrawn due to company goals,Initial Treatment Period,FG000,0.647840074294237,0.9958697872718392,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
95,NCT03325556,Lack of Response in OL period,Open-label Period,FG000,0.6436820090696134,0.995825376382289,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
96,NCT00773747,Lack of Efficacy,Overall Study,FG001,0.6371284073653961,0.9957809654927388,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
97,NCT02929329,Death,Overall Study,FG000,0.6307953939987802,0.9957365546031888,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
98,NCT02929329,Death,Overall Study,FG001,0.630592249095209,0.9956921437136386,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
99,NCT01560637,Death,Overall Study,FG000,0.6304900735298318,0.9956477328240884,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
100,NCT04592419,Sponsor Request,Open-Label Extension Period,FG000,0.6283071153319554,0.9956033219345384,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
101,NCT03037931,Death,Overall Study,FG000,0.6028059885673325,0.9955589110449884,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
102,NCT01023308,Disease progression,Overall Study,FG001,0.597574326348928,0.995514500155438,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
103,NCT03860935,Death,Overall Study,FG000,0.5968469284835031,0.995470089265888,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
104,NCT01560637,Adverse Event,Overall Study,FG000,0.5908337695911912,0.995425678376338,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
105,NCT00424047,Progression of disease,On Study at Time of Unblinding,FG000,0.5907932376289684,0.9953812674867878,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
106,NCT01027949,Withdrawal by Subject,Overall Study,FG000,0.5894038313688997,0.9953368565972376,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
107,NCT02755597,Death,Overall Study,FG001,0.5885911099260526,0.9952924457076876,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
108,NCT01106014,Morbidity or Mortality primary endpoint,Overall Study,FG001,0.586503773821577,0.9952480348181374,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
109,NCT01908816,Early termination,Overall Study,FG001,0.5863104576498612,0.9952036239285872,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
110,NCT00311402,Adverse Event,Overall Study,FG000,0.582135971533343,0.9951592130390372,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
111,NCT00739973,Abnormal test procedure result(s),Single-blind Period (2 to 4 Weeks),FG000,0.5800804734142764,0.995114802149487,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
112,NCT02924064,Other,Overall Study,FG001,0.5715933351668859,0.9950703912599368,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
113,NCT02136134,Uspecified,Overall Study,FG000,0.5628252091505456,0.9950259803703868,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
114,NCT03758638,Lost to Follow-up,Overall Study,FG000,0.5570604584466169,0.9949815694808368,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
115,NCT00618956,Adverse Event,Overall Study,FG001,0.5523351680154166,0.9949371585912866,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
116,NCT00960661,Entry criteria not met,Basal Insulin Optimization Phase (BIO),FG000,0.5484358809495735,0.9948927477017364,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
117,NCT03651765,Withdrawal by Subject,Overall Study,FG000,0.5452853449672529,0.9948483368121864,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
118,NCT00689936,Disease Progression,Active Treatment Phase,FG000,0.544015744326369,0.9948039259226362,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
119,NCT03472040,"Berotralstat Provided by alternative Means (i.e., Early Access Program or Commercially Available)",Overall Study,FG000,0.5349609865474612,0.994759515033086,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
120,NCT00311402,Adverse Event,Overall Study,FG001,0.5305228098575295,0.994715104143536,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
121,NCT00056160,Progression of disease,Up to Unblinding (07 Jun 2005),FG001,0.5270142444559723,0.9946706932539858,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
122,NCT01182441,Patient Still in Follow-up,Overall Study,FG001,0.5252539688473513,0.9946262823644356,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
